Date,Chla_Actual,Chla_Predicted,SS_Actual,SS_Predicted,Tur_Actual,Tur_Predicted
2015-11-22,0.6,3.36271186440678,2.0,3.980310933478307,1.5,3.135034732487022
2015-11-22,1.1,3.36271186440678,7.4,5.527441829790423,4.3,3.2161154616090544
2015-11-22,0.9,3.36271186440678,6.3,5.1579908465405735,4.4,3.1552516168556264
2015-11-22,0.6,3.36271186440678,4.7,4.740985159432659,3.0,3.1839129922545784
2015-11-22,1.3,3.36271186440678,7.2,4.976932773410365,5.0,3.1716224392710304
2015-11-22,0.9,3.36271186440678,5.4,4.858785388809302,4.1,3.1279268521151837
2015-11-22,1.2,3.36271186440678,5.8,4.885588477525831,3.6,3.2031798488536456
2015-11-22,1.5,3.36271186440678,5.9,4.942788280859297,3.7,3.1216678528394217
2016-10-27,0.7,3.36271186440678,2.7,4.02107445655737,1.7,3.1590885139540275
2016-10-27,1.4,3.36271186440678,4.2,4.601129565285315,2.7,3.2174987100129258
2016-10-27,0.9,3.36271186440678,2.4,3.613559322033898,1.7,3.211075423862599
2016-10-27,1.2,3.36271186440678,4.8,3.983749540488523,3.0,3.1583552503480616
2016-10-27,1.0,3.36271186440678,5.6,5.266214482180251,3.8,3.173223173152819
2016-10-27,1.8,3.36271186440678,2.3,4.176748368086348,5.1,3.075812724829545
2017-02-04,4.4,3.36271186440678,2.9,4.461523975288215,6.5,3.1060999042473934
2017-02-04,2.2,3.36271186440678,2.8,4.571859898456077,3.7,3.086367827302467
2017-02-04,1.9,3.36271186440678,1.6,3.613559322033898,4.1,3.1133443563682093
2017-02-04,5.7,3.36271186440678,3.7,3.886152346437221,1.8,3.0900155949922077
2017-02-04,1.6,3.36271186440678,3.0,4.797617054006794,2.9,3.057777440408165
2017-02-04,3.9,3.36271186440678,2.9,4.043604280142529,2.5,3.1219553811916807
2017-02-04,3.3,3.36271186440678,2.6,4.321996141608608,1.4,3.0580726910231686
2017-02-14,2.4,3.36271186440678,2.6,4.082393211742955,2.8,3.070621966313375
2017-02-14,1.9,3.36271186440678,4.4,4.239019760486297,3.6,3.232762905679394
2017-02-14,1.9,3.36271186440678,2.2,3.9747859579587694,2.4,3.2002826498634267
2017-02-14,3.1,3.36271186440678,2.8,4.347417277857385,2.3,3.231783396874895
2017-02-14,1.8,3.36271186440678,2.2,3.6952844232945634,7.7,3.2407504655951325
2017-02-14,1.8,3.36271186440678,2.5,3.8457764082843866,1.6,3.241411809215142
2017-02-14,3.1,3.36271186440678,3.6,4.3181858226765115,2.1,3.2688950465566218
2017-02-14,2.3,3.36271186440678,7.7,4.445336687816261,2.2,3.1782384617014032
2017-02-14,2.9,3.36271186440678,8.5,4.846897827662973,5.8,3.1888276001018583
2017-02-14,5.9,3.36271186440678,5.3,5.097404403275137,9.0,3.2126869469626183
2017-02-14,4.8,3.36271186440678,6.7,4.968874961937819,3.6,3.201520861077304
2017-02-14,4.9,3.36271186440678,4.9,4.5195312606329505,1.9,3.242488265790786
2017-02-14,4.9,3.36271186440678,3.6,3.987145054502916,2.3,3.225598319683975
2017-02-14,3.7,3.36271186440678,5.2,5.4629054153967616,4.6,3.2188705329221654
2017-02-14,1.5,3.36271186440678,7.1,4.942540123037259,4.7,3.2093568691724497
2017-02-14,4.4,3.36271186440678,6.6,4.946825750871813,3.5,3.214572101711894
2017-02-14,5.3,3.36271186440678,3.9,4.785094452429704,2.1,3.2589963268877513
2017-08-13,8.7,3.36271186440678,3.3,5.987666970455918,6.6,2.997305345643637
2017-08-18,6.8,3.36271186440678,2.2,5.209583685609249,5.6,3.0566324193242425
2017-08-18,0.8,3.36271186440678,3.1,4.868009912501443,1.4,3.1023431155240897
2017-08-18,4.6,3.36271186440678,2.2,5.475369405498688,6.1,3.036516862674705
2017-08-18,17.0,3.36271186440678,4.3,6.249671351437262,6.6,3.0295300368630405
2017-08-18,8.6,3.36271186440678,3.2,5.553485078038359,6.5,3.1101364571778114
2017-08-18,13.0,3.36271186440678,3.8,6.058492266231065,6.7,3.112998180617376
2017-08-18,0.7,3.36271186440678,4.3,3.929489691469044,2.4,3.158437246126167
2017-09-12,0.9,3.36271186440678,7.2,4.704259964830189,3.7,3.1362041614028136
2017-09-12,1.0,3.36271186440678,7.6,5.58213775303298,4.1,3.145972101491888
2017-09-12,1.3,3.36271186440678,7.3,5.160667728428182,5.2,3.0881238185599735
2017-09-12,0.9,3.36271186440678,8.4,5.336845108309821,4.8,3.1529577457322007
2017-09-12,0.9,3.36271186440678,5.7,4.485897102998046,3.3,3.1140944519875458
2017-09-17,0.6,3.36271186440678,6.1,5.137923794470476,3.3,3.154370978952354
2017-09-17,0.7,3.36271186440678,9.9,5.606710328522576,24.6,3.148517036968435
2017-09-17,0.8,3.36271186440678,8.1,5.351994027566958,5.4,3.1715744767772502
2017-10-12,0.7,3.36271186440678,5.7,4.780447506666857,3.4,3.1528336829495873
2017-10-12,1.2,3.36271186440678,9.6,5.522795930054694,18.7,3.164349919406841
2017-10-12,0.9,3.36271186440678,5.2,3.8848462797407946,3.6,3.160478387676334
2017-10-12,0.7,3.36271186440678,4.0,4.171577657137107,2.2,3.1914479601416077
2017-10-12,1.1,3.36271186440678,4.3,4.418365341547635,2.0,3.1904944867628617
2017-10-12,0.8,3.093220338983051,2.5,4.192372881355933,1.4,3.6596295989508087
2017-10-12,0.6,3.093220338983051,3.3,4.650906559484866,3.8,3.731067894039439
2017-10-12,0.9,3.093220338983051,5.0,5.049103876073082,27.2,3.8398442283069
