,WQ,nvar,var,random_state,best_layer,best_alpha,best_score,r2,adjusted_r2,corr_model,rmse,mae,smape,r2_test,corr_test,rmse_test,mae_test,smape_test
1,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11', 'NR_B1B12']",1,6,1e-06,-0.429536840697663,0.2899051678289758,0.23073059848139055,0.6798104308248215,1.1344350775821088,0.577828516944598,1.918055794849244,0.2440167901945578,0.5725700457495376,0.9405650752158097,0.6178690931830819,1.9176856272168559
2,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2', 'B11']",1,5,0.09999999999999999,-0.06475755186517465,0.2522337890572782,0.21193501122204172,0.6079119452440535,1.0935186020726397,0.5951390519100738,1.9119689970850131,-0.8271196376513941,-0.06852207349094806,0.7939041847425897,0.634548230516285,1.9330200310535313
3,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3', 'B8A_2']",1,5,1e-06,-0.14317165890453648,0.23877313735502315,0.20845879326739136,0.6179479591432151,1.0025577091626219,0.5459539192008961,1.804550516163681,0.14046171339052327,0.29986050343683357,0.49457767930825297,0.3983945423369045,1.836381283704744
4,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2', 'B2_2']",1,8,1e-06,0.08898323255382756,0.18675128088003345,0.16106974238150817,0.5633222046273358,0.9481306552652561,0.5298413650472876,1.838022497544536,0.10532385308425662,0.4908298207173819,0.8056057222427286,0.39003981393001375,1.876303625936174
0,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2', 'B8A_3', 'NR_B2B4']",1,"(2, 2)",0.09999999999999999,-0.3067472731455657,-0.07483511961248746,-0.2987591028650891,,1.7617181459678366,0.6762251139785806,2.0,-0.30694561646728524,,0.6280972563645223,0.4442348051585019,2.0
1,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11', 'NR_B1B12', 'B8A_3']",1,"(6, 6)",1e-06,-1.5707198108798752,0.005933280515948436,-0.08697015121153306,0.3715107403347717,1.3181159237956102,0.5706200708299052,1.956434902206331,-0.002557735999003441,0.09188092524289522,1.0751731378794038,0.648441029302063,1.942630763037673
2,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2', 'B11', 'NR_B12B2']",1,4,0.001,-0.036442902215364614,0.2629675412875574,0.21856799558198858,0.6695620516392984,1.0871567721674185,0.582788853366518,1.8924788009785496,-0.49340268720824576,-0.11473024660284722,0.72690745833398,0.5606467694665558,1.9057590530506054
3,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3', 'B8A_2', 'B2_2']",1,5,1e-06,-0.15954425992356552,0.2622417419256563,0.22945248601124102,0.6292674619394935,0.9872740041387512,0.5491278531610749,1.795854874649477,0.11289979079367518,0.30543243616906424,0.495715834039195,0.40178654766283994,1.8315278388452194
4,Chla,10,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2', 'B2_2', 'B4_3']",1,4,1e-06,0.08625955155543055,0.05310686644338436,0.019765558923785176,0.3780367375229672,1.0151611055193803,0.5103669268441129,1.9404035249230096,0.059059749072475576,0.7724836258919188,0.8355776489701681,0.3811438127805289,1.9691776225463822
0,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2', 'B8A_3', 'NR_B2B4', 'NR_B2B5']",1,"(5, 5)",0.09999999999999999,-0.30818038064332,-0.002924523552540803,-0.23765153970313535,,1.7617181459678366,0.6762251139785806,2.0,-0.019885281607190386,,0.6280972563645223,0.4442348051585019,2.0
